id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20100710_184944_1354107_RapidEye-2,2010-07-10T18:49:44Z,RapidEye-2,78.49181,5,0.42,0.69,151.87435,-3.03955,0.31,REOrthoTile,6.5
20100709_184907_1354107_RapidEye-1,2010-07-09T18:49:07Z,RapidEye-1,78.55721,5,0.19,0.19,151.0971,0.15209,0.81,REOrthoTile,6.5
20100718_185532_1354107_RapidEye-5,2010-07-18T18:55:32Z,RapidEye-5,77.77828,5,0,0,159.3216,-19.85978,1,REOrthoTile,6.5
20100820_184854_1354107_RapidEye-5,2010-08-20T18:48:54Z,RapidEye-5,69.20914,5,0.02,0.17,164.64413,-6.42203,0.83,REOrthoTile,6.5
20100806_185439_1354107_RapidEye-5,2010-08-06T18:54:39Z,RapidEye-5,73.54768,5,0,0.48,163.83944,-19.84849,0.52,REOrthoTile,6.5
20100910_185144_1354107_RapidEye-2,2010-09-10T18:51:44Z,RapidEye-2,62.14416,5,0.01,0.03,173.15386,-6.29898,0.97,REOrthoTile,6.5
20101012_184403_1354107_RapidEye-1,2010-10-12T18:44:03Z,RapidEye-1,49.90715,5,0,0,176.13542,13.18342,1,REOrthoTile,6.5
20101028_185854_1354107_RapidEye-2,2010-10-28T18:58:54Z,RapidEye-2,44.23925,5,0,0,182.53717,-16.11695,1,REOrthoTile,6.5
20101027_185818_1354107_RapidEye-1,2010-10-27T18:58:18Z,RapidEye-1,44.58012,5,0,0,182.32639,-12.61101,1,REOrthoTile,6.5
20101031_184249_1354107_RapidEye-1,2010-10-31T18:42:49Z,RapidEye-1,43.25031,5,0.02,0.02,177.18735,16.42155,0.98,REOrthoTile,6.5
20101107_184654_1354107_RapidEye-3,2010-11-07T18:46:54Z,RapidEye-3,41.12461,5,0.02,0.27,178.58662,0.20989,0.73,REOrthoTile,6.5
20101123_184256_1354107_RapidEye-5,2010-11-23T18:42:56Z,RapidEye-5,37.04421,5,0,0,176.72014,10.21654,1,REOrthoTile,6.5
20101128_184736_1354107_RapidEye-5,2010-11-28T18:47:36Z,RapidEye-5,36.12905,5,0,0,177.67479,3.78455,1,REOrthoTile,6.5
20101130_185120_1354107_RapidEye-2,2010-11-30T18:51:20Z,RapidEye-2,35.81733,5,0.02,0.18,178.55337,-2.97848,0.82,REOrthoTile,6.5
20101209_190027_1354107_RapidEye-1,2010-12-09T19:00:27Z,RapidEye-1,34.68489,5,0,0,180.10371,-16.2679,1,REOrthoTile,6.5
20101214_184535_1354107_RapidEye-2,2010-12-14T18:45:35Z,RapidEye-2,34.16468,5,0,0,175.33086,10.3418,1,REOrthoTile,6.5
20101221_184919_1354107_RapidEye-4,2010-12-21T18:49:19Z,RapidEye-4,33.96735,5,0,0,175.43042,-3.05693,1,REOrthoTile,6.5
20101218_184948_1354107_RapidEye-1,2010-12-18T18:49:48Z,RapidEye-1,34.03863,5,0,0.83,175.97411,0.10466,0.17,REOrthoTile,6.5
20110105_184535_1354107_RapidEye-5,2011-01-05T18:45:35Z,RapidEye-5,34.56886,5,0.02,0.56,172.29834,3.59412,0.44,REOrthoTile,6.5
20110109_184821_1354107_RapidEye-4,2011-01-09T18:48:21Z,RapidEye-4,35.1103,5,0.03,0.23,172.51533,3.64515,0.77,REOrthoTile,6.5
20110111_185329_1354107_RapidEye-1,2011-01-11T18:53:29Z,RapidEye-1,35.5199,5,0.01,0.56,173.69678,-6.3851,0.44,REOrthoTile,6.5
20110113_185243_1354107_RapidEye-3,2011-01-13T18:52:43Z,RapidEye-3,35.81082,5,0.01,0.2,173.2191,-9.80577,0.8,REOrthoTile,6.5
20110122_184204_1354107_RapidEye-3,2011-01-22T18:42:04Z,RapidEye-3,37.16497,5,0,0,169.00023,13.45638,1,REOrthoTile,6.5
20110125_184735_1354107_RapidEye-1,2011-01-25T18:47:35Z,RapidEye-1,38.05508,5,0.03,0.35,170.25739,6.60811,0.65,REOrthoTile,6.5
20110127_184652_1354107_RapidEye-3,2011-01-27T18:46:52Z,RapidEye-3,38.51431,5,0,0,169.81654,3.48865,1,REOrthoTile,6.5
20110130_185222_1354107_RapidEye-1,2011-01-30T18:52:22Z,RapidEye-1,39.4817,5,0.07,0.44,171.16652,-3.09786,0.56,REOrthoTile,6.5
20110210_184057_1354107_RapidEye-3,2011-02-10T18:40:57Z,RapidEye-3,42.2492,5,0.03,0.83,166.55531,13.44722,0.17,REOrthoTile,6.5
20110307_184446_1354107_RapidEye-4,2011-03-07T18:44:46Z,RapidEye-4,51.49536,5,0.29,0.5,166.35351,6.74302,0.5,REOrthoTile,6.5
20110304_184523_1354107_RapidEye-1,2011-03-04T18:45:23Z,RapidEye-1,50.35341,5,0,0,166.69318,16.43146,1,REOrthoTile,6.5
20110330_184816_1354107_RapidEye-3,2011-03-30T18:48:16Z,RapidEye-3,60.85178,5,0.02,0.69,167.70069,0.16547,0.31,REOrthoTile,6.5
20110404_185302_1354107_RapidEye-3,2011-04-04T18:53:02Z,RapidEye-3,63.00407,5,0,0,170.30908,-6.45481,1,REOrthoTile,6.5
20110414_184240_1354107_RapidEye-4,2011-04-14T18:42:40Z,RapidEye-4,66.29553,5,0.02,0.76,164.33342,10.26728,0.24,REOrthoTile,6.5
