id,acquired,satellite_id,sun_elevation,pixel_resolution,cloud_cover,anomalous_pixels,sun_azimuth,view_angle,usable_data,item_type,gsd
20140324_184721_1354107_RapidEye-2,2014-03-24T18:47:21Z,RapidEye-2,58.52892,5,0,0.8,167.23122,16.90652,0.2,REOrthoTile,6.5
20160709_184101_1354107_RapidEye-2,2016-07-09T18:41:01Z,RapidEye-2,77.5578,5,0,0.36,143.27873,-9.7665,0.64,REOrthoTile,6.5
20160728_183934_1354107_RapidEye-2,2016-07-28T18:39:34Z,RapidEye-2,74.24059,5,0.49,0.49,148.37261,-9.77219,0.51,REOrthoTile,6.5
20160215_183339_1354107_RapidEye-5,2016-02-15T18:33:39Z,RapidEye-5,43.41999,5,0.02,0.4,163.73247,-6.23103,0.6,REOrthoTile,6.5
20160124_183625_1354107_RapidEye-2,2016-01-24T18:36:25Z,RapidEye-2,37.31143,5,0,0.22,167.12386,6.94197,0.78,REOrthoTile,6.5
20160111_183858_1354107_RapidEye-3,2016-01-11T18:38:58Z,RapidEye-3,35.04383,5,0,0,169.63052,-13.04626,1,REOrthoTile,6.5
20160108_183827_1354107_RapidEye-5,2016-01-08T18:38:27Z,RapidEye-5,34.63981,5,0.27,0.89,169.91576,-6.2628,0.11,REOrthoTile,6.5
20160109_184110_1354107_RapidEye-1,2016-01-09T18:41:10Z,RapidEye-1,34.85913,5,0,0.93,170.53009,-6.41413,0.07,REOrthoTile,6.5
20151211_183351_1354107_RapidEye-1,2015-12-11T18:33:51Z,RapidEye-1,34.15622,5,0.04,0.04,172.47716,13.19201,0.96,REOrthoTile,6.5
20160204_184107_1354107_RapidEye-3,2016-02-04T18:41:07Z,RapidEye-3,40.3678,5,0,0.53,167.21962,-16.38642,0.47,REOrthoTile,6.5
20160202_184321_1354107_RapidEye-1,2016-02-02T18:43:21Z,RapidEye-1,39.90115,5,0.46,0.46,168.12251,-6.41129,0.54,REOrthoTile,6.5
20160204_182125_1354107_RapidEye-4,2016-02-04T18:21:25Z,RapidEye-4,39.23418,5,0,0.41,161.24515,13.49456,0.59,REOrthoTile,6.5
20150930_183955_1354107_RapidEye-5,2015-09-30T18:39:55Z,RapidEye-5,54.40374,5,0,0.02,172.3756,-6.34911,0.98,REOrthoTile,6.5
20150805_184334_1354107_RapidEye-1,2015-08-05T18:43:34Z,RapidEye-1,73.02237,5,0,0,154.58919,-0.02355,1,REOrthoTile,6.5
20150928_183615_1354107_RapidEye-3,2015-09-28T18:36:15Z,RapidEye-3,55.03881,5,0.15,0.15,170.35051,-3.15708,0.85,REOrthoTile,6.5
20150927_184001_1354107_RapidEye-2,2015-09-27T18:40:01Z,RapidEye-2,55.53578,5,0,0,171.7481,10.22205,1,REOrthoTile,6.5
20150914_184141_1354107_RapidEye-3,2015-09-14T18:41:41Z,RapidEye-3,60.42623,5,0,0,169.05025,-13.16086,1,REOrthoTile,6.5
20151002_184458_1354107_RapidEye-2,2015-10-02T18:44:58Z,RapidEye-2,53.76344,5,0,0.55,174.91211,0.37386,0.45,REOrthoTile,6.5
20150713_184126_1354107_RapidEye-2,2015-07-13T18:41:26Z,RapidEye-2,77.18495,5,0,0.93,144.3719,13.54481,0.07,REOrthoTile,6.5
20150418_185509_1354107_RapidEye-1,2015-04-18T18:55:09Z,RapidEye-1,68.28417,5,0.09,0.09,172.10329,-16.25819,0.91,REOrthoTile,6.5
20150422_183954_1354107_RapidEye-1,2015-04-22T18:39:54Z,RapidEye-1,68.93942,5,0,0,161.86619,13.20459,1,REOrthoTile,6.5
20150706_183204_1354107_RapidEye-5,2015-07-06T18:32:04Z,RapidEye-5,76.74751,5,0.82,0.95,135.13158,10.13742,0.05,REOrthoTile,6.5
20140506_185001_1354107_RapidEye-2,2014-05-06T18:50:01Z,RapidEye-2,73.89068,5,0,0.8,167.61705,10.36538,0.2,REOrthoTile,6.5
20140504_184451_1354107_RapidEye-5,2014-05-04T18:44:51Z,RapidEye-5,73.05847,5,0,0.26,163.6695,3.48448,0.74,REOrthoTile,6.5
20140326_184349_1354107_RapidEye-4,2014-03-26T18:43:49Z,RapidEye-4,59.15185,5,0.03,0.64,165.5383,10.16095,0.36,REOrthoTile,6.5
20140414_184219_1354107_RapidEye-4,2014-04-14T18:42:19Z,RapidEye-4,66.37376,5,0,0,164.09778,6.72862,1,REOrthoTile,6.5
20140404_185313_1354107_RapidEye-3,2014-04-04T18:53:13Z,RapidEye-3,63.1157,5,0,0.89,170.40854,-13.17241,0.11,REOrthoTile,6.5
20140322_184200_1354107_RapidEye-5,2014-03-22T18:42:00Z,RapidEye-5,57.45171,5,0,0.25,164.78246,16.81413,0.75,REOrthoTile,6.5
20160610_183259_1354107_RapidEye-2,2016-06-10T18:32:59Z,RapidEye-2,77.95175,5,0,0,138.93363,10.22068,1,REOrthoTile,6.5
20160606_182203_1354107_RapidEye-3,2016-06-06T18:22:03Z,RapidEye-3,76.19161,5,0,0.16,131.88694,6.76398,0.84,REOrthoTile,6.5
20150916_184517_1354107_RapidEye-5,2015-09-16T18:45:17Z,RapidEye-5,59.8178,5,0.58,0.93,171.41156,-13.05097,0.07,REOrthoTile,6.5
20150808_184212_1354107_RapidEye-4,2015-08-08T18:42:12Z,RapidEye-4,72.15699,5,0.05,0.22,154.88145,-16.44342,0.78,REOrthoTile,6.5
20151019_183923_1354107_RapidEye-5,2015-10-19T18:39:23Z,RapidEye-5,47.36424,5,0.13,0.78,175.18225,-3.10054,0.22,REOrthoTile,6.5
20150802_183655_1354107_RapidEye-3,2015-08-02T18:36:55Z,RapidEye-3,73.04581,5,0,0.32,148.3054,3.45206,0.68,REOrthoTile,6.5
20150301_184812_1354107_RapidEye-1,2015-03-01T18:48:12Z,RapidEye-1,49.33898,5,0,0.08,167.85162,-3.16012,0.92,REOrthoTile,6.5
20150419_183316_1354107_RapidEye-3,2015-04-19T18:33:16Z,RapidEye-3,67.43845,5,0,0.9,158.11542,10.19022,0.1,REOrthoTile,6.5
20141228_184406_1354107_RapidEye-5,2014-12-28T18:44:06Z,RapidEye-5,33.9647,5,0,0,173.01324,-3.19822,1,REOrthoTile,6.5
20150414_185203_1354107_RapidEye-2,2015-04-14T18:52:03Z,RapidEye-2,66.74779,5,0,0.17,170.02199,-6.26286,0.83,REOrthoTile,6.5
20141207_184123_1354107_RapidEye-3,2014-12-07T18:41:23Z,RapidEye-3,34.72296,5,0,0,174.99615,3.57891,1,REOrthoTile,6.5
20140926_185433_1354107_RapidEye-2,2014-09-26T18:54:33Z,RapidEye-2,56.09464,5,0.19,0.43,178.04795,-9.79907,0.57,REOrthoTile,6.5
20141012_184455_1354107_RapidEye-4,2014-10-12T18:44:55Z,RapidEye-4,49.90735,5,0,0.59,176.4712,0.22331,0.41,REOrthoTile,6.5
20140514_185438_1354107_RapidEye-5,2014-05-14T18:54:38Z,RapidEye-5,76.12884,5,0,0.11,170.71713,-16.41203,0.89,REOrthoTile,6.5
20141017_184931_1354107_RapidEye-4,2014-10-17T18:49:31Z,RapidEye-4,48.10836,5,0,0,178.72269,-13.1401,1,REOrthoTile,6.5
20140413_184212_1354107_RapidEye-3,2014-04-13T18:42:12Z,RapidEye-3,66.00266,5,0,0.94,164.0915,6.83862,0.06,REOrthoTile,6.5
20140730_185432_1354107_RapidEye-1,2014-07-30T18:54:32Z,RapidEye-1,75.25827,5,0,0.99,161.46779,-3.27422,0.01,REOrthoTile,6.5
20140726_185105_1354107_RapidEye-2,2014-07-26T18:51:05Z,RapidEye-2,75.88155,5,0,0,157.07733,3.53633,1,REOrthoTile,6.5
20140103_184410_1354107_RapidEye-3,2014-01-03T18:44:10Z,RapidEye-3,34.36605,5,0,0.4,172.14772,13.52668,0.6,REOrthoTile,6.5
20140218_185314_1354107_RapidEye-1,2014-02-18T18:53:14Z,RapidEye-1,45.56838,5,0,0,170.0641,-0.03787,1,REOrthoTile,6.5
20140211_184205_1354107_RapidEye-4,2014-02-11T18:42:05Z,RapidEye-4,42.71392,5,0,0,166.80635,10.19753,1,REOrthoTile,6.5
20140105_184728_1354107_RapidEye-5,2014-01-05T18:47:28Z,RapidEye-5,34.64866,5,0,0,172.78328,3.52382,1,REOrthoTile,6.5
20151213_183147_1354107_RapidEye-3,2015-12-13T18:31:47Z,RapidEye-3,33.92349,5,0,0.27,171.67142,-0.2814,0.73,REOrthoTile,6.5
20150104_185354_1354107_RapidEye-2,2015-01-04T18:53:54Z,RapidEye-2,34.67132,5,0,0.88,174.75095,-13.02182,0.12,REOrthoTile,6.5
